date,temp_max,temp_min,temp_mean,precipitation,windspeed,winddirection
2024-02-27,9.7,4.1,6.5,0.0,26.5,358
2024-02-28,10.9,0.2,6.2,0.0,13.5,226
2024-02-29,10.4,8.1,9.4,2.8,24.0,191
2024-03-01,10.9,4.3,7.4,3.8,35.7,202
2024-03-02,8.9,5.0,6.6,11.7,25.9,191
2024-03-03,8.8,3.3,6.0,2.7,13.9,309
2024-03-04,11.2,0.3,5.8,1.1,14.4,192
2024-03-05,9.5,4.6,7.0,7.4,19.2,214
2024-03-06,9.6,2.9,6.3,2.8,10.0,29
2024-03-07,12.8,1.2,6.6,0.0,19.3,92
2024-03-08,13.6,2.6,8.4,0.0,25.6,119
2024-03-09,13.6,6.0,9.2,4.9,25.5,142
