date,temp_max,temp_min,temp_mean,precipitation,windspeed,winddirection
2023-08-08,25.1,12.6,18.9,0.0,14.5,250
2023-08-09,26.6,14.1,20.4,0.0,12.9,344
2023-08-10,29.5,16.5,23.0,0.0,18.2,77
2023-08-11,25.0,17.6,21.0,3.4,14.8,254
2023-08-12,25.7,17.9,21.4,5.0,22.4,252
2023-08-13,25.0,14.6,19.6,0.0,12.6,229
2023-08-14,25.6,16.3,21.2,2.5,16.0,242
2023-08-15,24.1,15.2,20.3,0.8,10.2,249
2023-08-16,27.5,17.3,22.1,0.9,12.3,40
2023-08-17,30.1,17.7,23.4,0.1,16.8,67
2023-08-18,31.6,20.7,25.4,1.3,13.7,121
2023-08-19,27.2,20.3,23.2,10.3,14.9,247
2023-08-20,29.7,18.8,24.1,0.0,13.3,338
2023-08-21,30.7,19.2,24.7,0.0,13.5,36
2023-08-22,33.0,21.2,26.9,0.0,13.0,41
2023-08-23,33.9,21.0,27.5,0.0,14.1,61
2023-08-24,30.3,21.0,25.3,0.5,18.4,102
2023-08-25,24.1,17.3,21.1,1.2,19.9,266
2023-08-26,22.4,13.7,17.6,1.4,18.3,244
2023-08-27,21.6,12.3,16.7,0.5,19.8,290
2023-08-28,21.2,12.4,17.0,0.8,16.6,319
2023-08-29,20.3,11.2,16.0,0.0,11.3,311
2023-08-30,18.7,12.3,15.6,1.1,15.1,265
2023-08-31,21.5,11.9,17.1,1.7,27.3,220
2023-09-01,25.2,17.2,20.2,0.5,20.7,233
2023-09-02,26.8,16.9,21.2,4.2,13.7,35
2023-09-03,30.7,17.8,24.1,0.0,20.3,67
2023-09-04,31.9,19.4,25.4,0.0,20.0,71
2023-09-05,32.4,19.2,25.5,0.0,11.5,151
2023-09-06,33.2,18.5,25.5,0.0,9.0,26
2023-09-07,33.1,17.3,24.9,0.0,10.5,122
2023-09-08,32.8,17.7,25.2,0.0,9.5,132
2023-09-09,32.6,18.5,25.3,0.0,10.2,98
2023-09-10,31.5,17.5,25.2,0.0,10.7,170
2023-09-11,28.6,17.9,22.4,3.0,7.5,1
2023-09-12,23.6,17.5,20.1,3.5,17.7,327
2023-09-13,22.1,15.0,18.5,0.0,11.4,302
2023-09-14,24.2,11.6,18.0,0.0,9.4,23
2023-09-15,28.0,13.9,20.2,0.0,10.8,74
2023-09-16,26.3,16.9,21.2,0.0,12.0,127
2023-09-17,27.7,18.2,22.0,1.4,21.8,164
2023-09-18,23.8,16.3,19.5,2.7,21.5,233
2023-09-19,22.4,13.5,18.0,0.0,24.2,232
2023-09-20,24.5,15.2,19.8,0.6,25.5,207
2023-09-21,19.0,13.0,16.2,32.4,23.9,215
2023-09-22,17.5,11.7,14.1,0.5,23.8,247
2023-09-23,18.2,9.5,13.7,0.0,11.9,271
2023-09-24,20.5,6.5,13.4,0.0,15.0,124
2023-09-25,23.3,11.1,16.7,0.0,10.6,110
2023-09-26,24.6,12.6,18.1,0.0,10.1,169
2023-09-27,25.9,12.0,18.8,0.1,15.3,198
2023-09-28,24.3,12.7,19.1,0.0,14.8,210
2023-09-29,21.4,15.2,18.7,0.0,20.0,257
2023-09-30,22.6,12.7,17.3,0.0,8.7,87
2023-10-01,27.0,12.2,18.4,0.0,10.9,100
2023-10-02,29.1,12.0,20.1,0.0,13.8,159
2023-10-03,21.2,13.0,18.0,1.6,24.0,275
2023-10-04,18.5,8.3,12.8,0.0,9.7,40
2023-10-05,20.3,7.1,13.1,0.0,8.2,61
2023-10-06,21.6,6.5,13.4,0.0,9.4,53
2023-10-07,23.4,7.8,15.0,0.0,8.8,71
2023-10-08,27.8,11.2,18.0,0.0,12.3,75
